,langname,glottocode,word,count,id,year,simple_elaboration,regression_elaboration,dictsize_data,countryname,bila_language_name_mapping,response_mean,response_std,dictionary_count_mean
496,Serbian-Croatian-Bosnian,sout1528,gratitude,5.0,mdp.39015012891506,1985.0,0.0001487254231238,0.7028234696290507,33619.0,Croatia,Serbian-Croatian-Bosnian,3.931166347992352,1.5887065442584383,5.450551232166018
497,Serbian-Croatian-Bosnian,sout1528,hope,1.0,mdp.39015012891506,1985.0,2.974508462476576e-05,-1.3359380216735828,33619.0,Croatia,Serbian-Croatian-Bosnian,3.682600382409178,1.452512464240428,5.450551232166018
498,Serbian-Croatian-Bosnian,sout1528,loneliness,1.0,mdp.39015012891506,1985.0,2.974508462476576e-05,-0.1377850985574241,33619.0,Croatia,Serbian-Croatian-Bosnian,2.6927480916030535,1.9523640828356355,5.450551232166018
499,Serbian-Croatian-Bosnian,sout1528,love,0.0,mdp.39015012891506,1985.0,0.0,0.0,33619.0,Croatia,Serbian-Croatian-Bosnian,4.231357552581262,1.619449398022103,5.450551232166018
500,Serbian-Croatian-Bosnian,sout1528,pleasure,17.0,mdp.39015012891506,1985.0,0.000505666438621,-1.4686816537797265,33619.0,Croatia,Serbian-Croatian-Bosnian,4.009541984732825,1.505218640271796,5.450551232166018
501,Serbian-Croatian-Bosnian,sout1528,regret,9.0,mdp.39015012891506,1985.0,0.0002677057616228,0.3778602820023692,33619.0,Croatia,Serbian-Croatian-Bosnian,2.795801526717557,1.7132655095550533,5.450551232166018
502,Serbian-Croatian-Bosnian,sout1528,relief,11.0,mdp.39015012891506,1985.0,0.0003271959308724,1.2131057509120202,33619.0,Croatia,Serbian-Croatian-Bosnian,2.6405353728489485,1.5637296081930114,5.450551232166018
503,Serbian-Croatian-Bosnian,sout1528,sadness,9.0,mdp.39015012891506,1985.0,0.0002677057616228,2.580006839556988,33619.0,Croatia,Serbian-Croatian-Bosnian,2.9904580152671754,1.7594064541463001,5.450551232166018
504,Serbian-Croatian-Bosnian,sout1528,admiration,5.0,mdp.39015012891506,1985.0,0.0001487254231238,0.6801086749042635,33619.0,Serbia,Serbian-Croatian-Bosnian,2.7126436781609193,1.846614136446067,5.450551232166018
505,Serbian-Croatian-Bosnian,sout1528,anger,20.0,mdp.39015012891506,1985.0,0.0005949016924953,-0.9413731256340334,33619.0,Serbia,Serbian-Croatian-Bosnian,3.0485714285714285,1.9077389410965475,5.450551232166018
506,Serbian-Croatian-Bosnian,sout1528,anxiety,9.0,mdp.39015012891506,1985.0,0.0002677057616228,0.2144237918555349,33619.0,Serbia,Serbian-Croatian-Bosnian,3.194842406876791,1.8216062101516772,5.450551232166018
507,Serbian-Croatian-Bosnian,sout1528,boredom,3.0,mdp.39015012891506,1985.0,8.923525387429727e-05,1.579774518539894,33619.0,Serbia,Serbian-Croatian-Bosnian,2.606837606837607,2.0324113684724283,5.450551232166018
508,Serbian-Croatian-Bosnian,sout1528,compassion,7.0,mdp.39015012891506,1985.0,0.0002082155923733,0.716131857137845,33619.0,Serbia,Serbian-Croatian-Bosnian,4.312320916905444,1.4650693562270283,5.450551232166018
509,Serbian-Croatian-Bosnian,sout1528,confusion,24.0,mdp.39015012891506,1985.0,0.0007138820309943,2.885361287688503,33619.0,Serbia,Serbian-Croatian-Bosnian,2.6580459770114944,1.870680400855568,5.450551232166018
510,Serbian-Croatian-Bosnian,sout1528,determination,16.0,mdp.39015012891506,1985.0,0.0004759213539962,5.072570745710819,33619.0,Serbia,Serbian-Croatian-Bosnian,3.7942857142857145,1.5799501020634266,5.450551232166018
511,Serbian-Croatian-Bosnian,sout1528,disgust,15.0,mdp.39015012891506,1985.0,0.0004461762693714,3.5200366403343546,33619.0,Serbia,Serbian-Croatian-Bosnian,2.111428571428571,1.9759690130992975,5.450551232166018
512,Serbian-Croatian-Bosnian,sout1528,fear,19.0,mdp.39015012891506,1985.0,0.0005651566078705,-2.3849618269159154,33619.0,Serbia,Serbian-Croatian-Bosnian,2.4245014245014245,1.7854565544574608,5.450551232166018
513,Serbian-Croatian-Bosnian,sout1528,frustration,2.0,mdp.39015012891506,1985.0,5.949016924953151e-05,0.8719136284369274,33619.0,Serbia,Serbian-Croatian-Bosnian,2.742857142857143,1.9527785969930989,5.450551232166018
514,Serbian-Croatian-Bosnian,sout1528,gratitude,5.0,mdp.39015012891506,1985.0,0.0001487254231238,0.7028234696290507,33619.0,Serbia,Serbian-Croatian-Bosnian,3.543103448275862,1.8427781372272765,5.450551232166018
515,Serbian-Croatian-Bosnian,sout1528,hope,1.0,mdp.39015012891506,1985.0,2.974508462476576e-05,-1.3359380216735828,33619.0,Serbia,Serbian-Croatian-Bosnian,3.874285714285714,1.6380754059602842,5.450551232166018
516,Serbian-Croatian-Bosnian,sout1528,loneliness,1.0,mdp.39015012891506,1985.0,2.974508462476576e-05,-0.1377850985574241,33619.0,Serbia,Serbian-Croatian-Bosnian,2.1942857142857144,2.0005647994972096,5.450551232166018
